"","depth_class","Ecosystem_type","AI","MAP","MAT","PS_Bio15","TS_Bio4","TAR_Bio7","MaxTWM_Bio5","MinTCM_Bio6","MMTD_Bio2","PWM_Bio13","PDM_Bio14","Elevation","Slope","Mean_pH","Moisture","TC","CEC","Bulk.Density","RootDepth","GPP","Sand.content","Clay.content","Silt.content","Bedrock","Shannon_EVI","LAI","AbovegroundBiomass","BelowgroundBiomass","depth_mid","length","degree","CUE"
"1","0-30","Forest",0.426,576.7,10,87.7685775756836,952.343994140625,37,25.5,-11.5,11.0500001907349,106,2,1411.5625,6.98485422134399,8.11333333333333,67.946645386759,2.12,0.0690333317903181,0.886378333333333,3.44853901863098,0,80,6,14,2001,24174,2.92449998855591,43.7,16.4,10,0.589206236182785,66.2299846429198,0.289262218891059
"2","30-60","Forest",0.426,576.7,10,87.7685775756836,952.343994140625,37,25.5,-11.5,11.0500001907349,106,2,1411.5625,6.98485422134399,8.35666666666667,69.4718577508712,1.05,0.0649499985482544,1.07999,3.44853901863098,0,80.5,6,13.5,2001,24174,2.92449998855591,43.7,16.4,30,0.117295582965153,59.5302609875439,0.56245438110975
"3","30-60","Forest",0.426,576.7,10,87.7685775756836,952.343994140625,37,25.5,-11.5,11.0500001907349,106,2,1411.5625,6.98485422134399,8.41,60.5084504731477,0.725,0.0685499984677881,1.17948333333333,3.44853901863098,0,80,6,14,2001,24174,2.92449998855591,43.7,16.4,50,0.0544487346069587,23.8078556295432,0.593770094959382
"4","0-30","Forest",0.426,576.7,10,87.4550399780273,954.427062988281,37,25.6000003814697,-11.3999996185303,11.0666666030884,106,2,1384.75,6.66762733459473,8.08333333333333,66.5375735000338,2.12,0.0690333317903181,1.00288555555556,3.44853901863098,0,80,6,14,2001,24174,2.92449998855591,19.5,11.5,10,0.462274481054017,62.3291839187042,0.370009908572785
"5","30-60","Forest",0.426,576.7,10,87.4550399780273,954.427062988281,37,25.6000003814697,-11.3999996185303,11.0666666030884,106,2,1384.75,6.66762733459473,8.32333333333333,41.5352378906727,1.05,0.0649499985482544,1.20412,3.44853901863098,0,80.5,6,13.5,2001,24174,2.92449998855591,19.5,11.5,30,0.0549538610620496,50.1425682306703,0.571408410771542
"6","30-60","Forest",0.426,576.7,10,87.4550399780273,954.427062988281,37,25.6000003814697,-11.3999996185303,11.0666666030884,106,2,1384.75,6.66762733459473,8.42333333333333,42.5742854928319,0.725,0.0685499984677881,1.16564,3.44853901863098,0,80,6,14,2001,24174,2.92449998855591,19.5,11.5,50,0.0744756709260118,38.5067480074984,0.567236232932774
"7","0-30","Grassland",0.4161,576.7,10,87.7717132568359,956.286193847656,37.2000007629395,26,-11.1999998092651,11.1333332061768,106,2,1343.1875,7.11465883255005,8.25388888888889,36.9598613138672,2.12,0.0690333317903181,1.17076555555556,3.44853901863098,0,80,6,14,2001,24174,2.92449998855591,4.9,7,10,0.410092346360533,63.1298982843624,0.43257113637141
"8","30-60","Grassland",0.4161,576.7,10,87.7717132568359,956.286193847656,37.2000007629395,26,-11.1999998092651,11.1333332061768,106,2,1343.1875,7.11465883255005,8.41,50.3888501100889,1.05,0.0649499985482544,1.18446666666667,3.44853901863098,0,80.5,6,13.5,2001,24174,2.92449998855591,4.9,7,30,0.12521383143827,39.2818973493667,0.579892459976332
"9","30-60","Grassland",0.4161,576.7,10,87.7717132568359,956.286193847656,37.2000007629395,26,-11.1999998092651,11.1333332061768,106,2,1343.1875,7.11465883255005,8.44333333333333,56.9236480633595,0.725,0.0685499984677881,1.21552666666667,3.44853901863098,0,80,6,14,2001,24174,2.92449998855591,4.9,7,50,0.0774498476530974,34.7442829964906,0.585906246621682
"10","0-30","Forest",0.4161,576.7,10,87.7717132568359,956.286193847656,37.2000007629395,26,-11.1999998092651,11.1333332061768,106,2,1343.1875,7.11465883255005,8.29666666666667,71.512924813015,2.12,0.0690333317903181,1.09702972222222,3.44853901863098,0,80,6,14,2001,24174,2.92449998855591,21.9,12.5,10,0.566796198637394,60.8058769577242,0.276029610286714
