Climatic_zone,Vegetation_type,Sample_size,MAP,Soil_MAT,LAI,Mean_pH,CUEst
Arid,Grasslands,3,356,9.374999762,0.603,8.77,0.348
Arid,Grasslands,3,356,9.374999762,0.603,8.853,0.395
Arid,Grasslands,3,356,9.374999762,0.603,8.907,0.362
Arid,Grasslands,3,356,9.374999762,0.603,8.847,0.304
Arid,Grasslands,3,356,9.374999762,0.603,8.59,0.282
Cold,Grasslands,27,491,11.5250001,1.362,8.333,0.524
Cold,Grasslands,27,491,11.5250001,1.362,8.389,0.472
Cold,Grasslands,27,491,11.5250001,1.362,8.321,0.425
Cold,Grasslands,27,491,11.5250001,1.362,8.36,0.373
Cold,Grasslands,27,491,11.5250001,1.362,8.453,0.419
Cold,Grasslands,27,491,11.5250001,1.362,8.271,0.418
Arid,Grasslands,3,428,10.47999992,0.933,8.677,0.376
Arid,Grasslands,3,431,11.05000003,0.874,8.86,0.469
Cold,Grasslands,3,424,9.549999952,0.733,8.803,0.381
Arid,Grasslands,3,408,9.660000038,0.736,8.503,0.299
Cold,Grasslands,3,484,10.82499981,0.959,8.593,0.267
Cold,Grasslands,3,552,11.5250001,1.311,8.621,0.366
Cold,Grasslands,3,516,10.6500001,1.363,8.61,0.374
Cold,Grasslands,3,485,11.1,1.094,8.66,0.364
Cold,Grasslands,3,534,11.74999976,1.41,8.347,0.289
Cold,Grasslands,3,529,10.96000004,1.41,8.34,0.353
Cold,Grasslands,3,517,11.78000011,1.379,8.55,0.369
Cold,Grasslands,3,615,14.39999986,1.107,8.412,0.336
Arid,Grasslands,3,628,16.11666711,1.589,8.13,0.321
Cold,Grasslands,3,560,11.57499981,1.727,8.353,0.409
Cold,Grasslands,3,603,14.97500014,1.446,8.553,0.456
Cold,Mixed forest,3,644,14.07500005,2.548,8.313,0.295
Cold,Mixed forest,3,789,13.32500005,3.146,6.353,0.517
Cold,Mixed forest,3,791,13.2249999,3.146,6.837,0.522
Cold,Mixed forest,3,955,10.87499976,3.925,6.127,0.527
Temperate,Mixed forest,3,1004,14.79999995,3.68,6.503,0.514
Cold,Mixed forest,18,514,8.660000038,2.924,8.113,0.244
Cold,Mixed forest,18,514,8.740000153,2.924,8.083,0.345
Cold,Mixed forest,18,514,9.875,2.924,8.254,0.413
Cold,Mixed forest,18,514,9.325000048,2.924,8.297,0.239
Cold,Mixed forest,18,514,9.600000143,2.924,8.209,0.241
Cold,Mixed forest,18,514,9.280000114,2.924,8.059,0.269
Cold,Mixed forest,15,703,12.27499986,3.943,8.081,0.203
Cold,Mixed forest,12,703,12.27499986,3.943,8.184,0.185
Cold,Mixed forest,9,703,12.27499986,3.943,8.086,0.216
Cold,Mixed forest,9,703,12.27499986,3.943,8.107,0.188
Cold,Mixed forest,9,703,12.27499986,3.943,8.103,0.174
Cold,Mixed forest,9,703,12.27499986,3.943,7.958,0.165
Cold,Mixed forest,18,703,12.27499986,3.943,8.104,0.224
Cold,Grasslands,6,491,11.30000019,1.362,8.63,0.421
Cold,Grasslands,6,491,11.30000019,1.362,8.61,0.395
Cold,Grasslands,6,491,11.30000019,1.362,8.57,0.36
Cold,Grasslands,6,491,11.30000019,1.362,8.55,0.37
Cold,Grasslands,6,491,11.30000019,1.362,8.51,0.384
Cold,Grasslands,6,491,11.30000019,1.362,8.58,0.41
Temperate,Woody savannas,3,1186,12.14999986,2.776,4.14,0.226
Temperate,Woody savannas,3,1186,12.14999986,2.776,4.11,0.152
Tropical,Evergreen Broadleaf forest,5,2431,24.125,5.692,4.6,0.366
Tropical,Evergreen Broadleaf forest,5,2431,23.75,5.692,3.8,0.218
Tropical,Evergreen Broadleaf forest,5,3094,19.95000029,5.451,3.8,0.191
Tropical,Grasslands,5,1654,17.5,1.457,4,0.267
Tropical,Grasslands,5,1654,16.45000005,1.457,3.9,0.145
Tropical,Grasslands,5,1654,15.86000004,1.457,3.9,0.225
Tropical,Grasslands,5,1654,15.5,1.457,4,0.081
Temperate,Grasslands,5,1654,13.2249999,1.457,3.9,0.175
Temperate,Grasslands,5,553,11.02499986,1.457,3.9,0.147
Temperate,Grasslands,5,566,9.949999809,1.457,3.8,0.141
Arid,Grasslands,5,553,9.674999952,1.457,4.1,0.361
Temperate,Grasslands,5,566,9.174999833,1.457,4.1,0.176
Temperate,Grasslands,5,566,7.499999881,1.457,4,0.15
Cold,Grasslands,5,333,9.300000191,1.134,8.47,0.425
Cold,Grasslands,5,431,-0.425000004,0.864,8.448,0.521
Cold,Grasslands,5,431,-0.425000004,0.864,8.694,0.588
Cold,Grasslands,5,431,-0.425000004,0.864,8.702,0.59
Cold,Grasslands,5,431,-0.425000004,0.864,8.818,0.589
Cold,Grasslands,3,485,10.89999986,1.094,8.33,0.371
Cold,Grasslands,3,485,10.65999985,1.094,8.27,0.364
Cold,Grasslands,3,485,10.89999986,1.094,8.17,0.356
Cold,Grasslands,3,485,10.89999986,1.094,7.99,0.352
Cold,Grasslands,3,485,11.14999986,1.094,8.3,0.354
Cold,Grasslands,3,485,10.79999981,1.094,8.25,0.36
Cold,Grasslands,3,485,10.89999986,1.094,8.1,0.373
Cold,Grasslands,3,485,11.03999996,1.094,7.72,0.379
Temperate,Mixed forest,3,1288,11.92499995,3.312,6.567,0.412
Temperate,Woody savannas,9,1513,18.85000038,2.545,7.237,0.388
Temperate,Woody savannas,9,1276,16.22500014,2.792,6.15,0.449
Temperate,Woody savannas,3,1563,20.6500001,2.349,6.117,0.394
Temperate,Woody savannas,9,1441,20.37499952,3.259,7.042,0.345
Temperate,Woody savannas,9,1487,17.14999962,2.267,7.112,0.389
Temperate,Woody savannas,9,1434,22.10000038,2.175,7.353,0.386
Temperate,Woody savannas,29,1368,15.72499967,2.632,5.917,0.353
Temperate,Woody savannas,29,1385,19.0999999,2.896,6.63,0.29
Arid,Grasslands,3,139,12.9,0.767,8.537,0.488
Arid,Grasslands,3,146,12.77999992,0.254,8.753,0.417
Arid,Grasslands,3,135,12.71999989,0.522,8.177,0.463
Arid,Grasslands,3,296,5.4,0.767,7.993,0.572
Arid,Grasslands,3,232,12.41999989,1.431,7.743,0.466
Arid,Grasslands,3,305,4.516666651,0.729,8.247,0.436
Arid,Grasslands,3,342,3.600000095,0.729,8.027,0.532
Arid,Grasslands,3,326,2.939999986,0.767,5.957,0.467
Arid,Grasslands,3,158,12.11999989,0.752,5.01,0.43
Arid,Grasslands,3,267,1.875,1.08,7.717,0.533
Cold,Grasslands,3,309,-0.250000007,1.762,7.63,0.474
