"...1","X1","Paper.ID","Citation","Published.time","Continent","Country","Region","Sites","Sampling.time","Longitude","Latitude","Altitude","Site.slope","MAP","MAT","Vegetation_type","Dominant.plant.species","Family.of.species","Soil.type","Parent.material.type","Soil.depth","Soil_layers","TreatⅠ","TreatⅡ","Types.of.treat","Magnitude.of.treat","Duration.of.treats","Treat.Note","Experimental.duration","Treatment.label","PB.(Plant.biomass)","SD_PB","Sample.size...34","AB.(Aboveground.biomass)","SD_AB","Sample.size...37","RB.(Root.biomass)","SD_RB","Sample.size...40","Mean_Litter.C","SD_Litter.C","Sample.size...43","Mean_Litter.N","SD_Litter.N","Sample.size...46","Mean_Litter.P","SD_Litter.P","Sample.size...49","Mean_Root.C","SD_Root.C","Sample.size...52","Mean_Root.N","SD_Root.N","Sample.size...55","Mean_Root.P","SD_Root.P","Sample.size...58","Bulk.Density","Soil.Temp.","Moisture","TC","CEC","Mean_pH","SD_pH","Sample.size...66","Mean_SOC","SD_SOC","Sample.size...69","Mean_TN","SD_TN","Sample.size...72","Mean_TP","SD_TP","Sample.size...75","Mean_DOC","SD_DOC","Sample.size...78","Mean_DON","SD_DON","Sample.size...81","Mean_NO3-","SD_NO3-","Sample.size...84","Mean_NH4+","SD_NH4+","Sample.size...87","Mean_Available.P","SD_Available.P","Sample.size...90","Sand.content","Silt.content","Clay.content","Mean_Ca","SD_Ca","Sample.size...96","Mean_Mg","SD_Mg","Sample.size...99","Mean_Fe","SD_Fe","Sample.size...102","Mean_MBC","SD_MBC","Sample.size...105","Mean_MBN","SD_MBN","Sample.size...108","Mean_MBP","SD_MBP","Sample.size...111","Mean_AG(a-1,4-glucosidase)","SD_AG","Sample.size...114","Mean_BG(β-1,4-glucosidase)","SD_BG","Sample.size...117","Mean_CBH(Cellobiohydrolase)","SD_CBH","Sample.size...120","Mean_XYL(xylosidase)","SD_XYL","Sample.size...123","Mean_NAG(β-N-acetylglucosaminidase)","SD_NAG","Sample.size...126","Mean_LAP(Leucyl.aminopeptidase)","SD_LAP","Sample.size...129","Mean_Ur(Urease)","SD_Ur(Urease)","Sample.size...132","Mean_AP(Acid.(alkaline).phosphatase)","SD_AP","Sample.size...135","Mean_POX(Phenol.oxidase)","SD_POX","Sample.size...138","Mean_PER(Peroxidase)","SD_PER","Sample.size...141","Mean_Total.PLFA","SD_Total.PLFA","Sample.size...144","Mean_Bacteria.(PLFA)","SD_Bacteria.(PLFA)","Sample.size...147","Mean_Fungi.(PLFA)","SD_Fungi.(PLFA)","Sample.size...150","Bacterial.primers","Accession.numbers","Database","EEA_CN","EEA_CP","L_CN","L_CP","B_CN","B_CP","S_CN","S_CP","CUE","Ecosystem_type","TS_Bio4","PS_Bio15","TAR_Bio7","MaxTWM_Bio5","MinTCM_Bio6","MMTD_Bio2","PWM_Bio13","PDM_Bio14","Elevation","Slope","AI","GPP","LAI","Shannon_EVI","RootDepth","Bedrock","BelowgroundBiomass","AbovegroundBiomass","Climatezone","Soil_Depth","depth_min","depth_max","depth_mid","depth_class"
"1","1","6","Cui et al. 2020","2020","Asia","China","Loess plateau","Ziwuling","May, 2017","108.5286111111111","36.048333333333332",NA,NA,576.7,10,"Forest","S. schneideriana; C. lanceolate",NA,"Loess","Calcaric Cambisol","0_20cm","Topsoil","Second_succession","100_yr",NA,NA,NA,"R100",NA,"SY1-1-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.88637833333333327",NA,"67.946645386759016",2.12,0.0690333317903181,"8.1133333333333333",0.0355627035298631,"18",20.7646904031818,2.45561871596279,"18",1.95368371918748,0.157503896983153,"18",0.616296166569037,0.0108155926458552,"18","169.55295276777389",14.1027923230729,"18",NA,NA,NA,"68.838973757105975",3.29283669121147,"18",NA,NA,NA,"7.2077777777777783",0.475495269833447,"18","80",14,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,370.018790763024,"35.488030029188657","18",115.428775791096,7.06119066379413,"18",32.6800809100823,3.09055207442346,"18",NA,NA,NA,74.7441879640681,5.39887475070382,"18","28.754598123442477",8.00818033115863,"18",NA,NA,NA,17.8521763061132,2.50994977969719,"18",46.0179151095658,14.9690245494819,"18",NA,NA,NA,239.982434461778,10.006153811463,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.17025334248574,0.311456911968166,10.628481058243,33.6927138761551,3.20560266040323,11.3224563850106,0.257726215611999,1.07896334077357,0.289262218891059,"Forest",952.343994140625,87.7685775756836,37,25.5,-11.5,11.0500001907349,106,2,1411.5625,6.98485422134399,0.426,0,2.92449998855591,24174,3.44853901863098,2001,16.4,43.7,21,"0_20cm",0,20,10,"0-30"
"2","2","6","Cui et al. 2020","2020","Asia","China","Loess plateau","Ziwuling","May, 2017","108.5286111111111","36.048333333333332",NA,NA,576.7,10,"Forest","S. schneideriana; C. lanceolate",NA,"Loess","Calcaric Cambisol","20_40cm","Subsoil","Second_succession","100_yr",NA,NA,NA,"R100",NA,"SY1-B-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.0799899999999998",NA,"69.471857750871237",1.05,0.0649499985482544,"8.3566666666666674",0.0288675134594806,"3",6.72532232474256,0.70867741617943,"3",0.631048797090946,0.00653520841759464,"3",0.550675512233325,0.0100676162003101,"3","65.247060869565175",1.30519177514829,"3",NA,NA,NA,"33.423970186335382",0.908933647433152,"3",NA,NA,NA,"3.5133333333333332",0.135769412362775,"3","80.5",13.5,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,117.863298826777,"7.0719901918788342","3",23.9074181427805,1.69288233713677,"3",4.46297908902691,0.148004996616038,"3",NA,NA,NA,7.3352913720007,0.625148984773597,"3","44.520767349790766",2.70057290383917,"3",NA,NA,NA,5.07525734980574,0.131748132069237,"3",60.1466141682025,3.2946069094152,"3",NA,NA,NA,115.991227398102,2.22386161858028,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.112466741620185,0.0632400530328447,10.657372862044,12.2128588893798,4.9299885969648,26.4091084622302,4.11312247360257,34.1935487150179,0.56245438110975,"Forest",952.343994140625,87.7685775756836,37,25.5,-11.5,11.0500001907349,106,2,1411.5625,6.98485422134399,0.426,0,2.92449998855591,24174,3.44853901863098,2001,16.4,43.7,21,"20_40cm",20,40,30,"30-60"
"3","3","6","Cui et al. 2020","2020","Asia","China","Loess plateau","Ziwuling","May, 2017","108.5286111111111","36.048333333333332",NA,NA,576.7,10,"Forest","S. schneideriana; C. lanceolate",NA,"Loess","Calcaric Cambisol","40_60cm","Subsoil","Second_succession","100_yr",NA,NA,NA,"R100",NA,"SY1-C-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.1794833333333334",NA,"60.508450473147668",0.725,0.0685499984677881,"8.41",0.00499999999999989,"3",3.39615162175393,0.124980939466697,"3",0.3413188642938,0.00165969819743822,"3",0.560952872812787,0.0105534362984535,"3","44.190417250673846",1.30741887713608,"3",NA,NA,NA,"32.836876909254279",0.952562996965064,"3",NA,NA,NA,"2.9866666666666668",0.336501609703926,"3","80",14,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,69.9267277628032,"4.1717677345105217","3",8.76075338591061,0.666694217966378,"3",3.07938679245283,0.332932749811796,"3",NA,NA,NA,1.81839002500138,0.0954698616365504,"3","28.820181340051345",1.52951313696034,"3",NA,NA,NA,0.961621952587311,0.0784896380462248,"3",79.9516938122909,6.71831265551704,"3",NA,NA,NA,34.6841903516248,1.36308527017307,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0224733099590844,0.0524270570126253,9.95008473610353,6.05425479813411,7.98181670942389,22.7080040526849,35.6950446554458,71.5422820467498,0.593770094959382,"Forest",952.343994140625,87.7685775756836,37,25.5,-11.5,11.0500001907349,106,2,1411.5625,6.98485422134399,0.426,0,2.92449998855591,24174,3.44853901863098,2001,16.4,43.7,21,"40_60cm",40,60,50,"30-60"
"4","4","6","Cui et al. 2020","2020","Asia","China","Loess plateau","Ziwuling","May, 2017","108.53777777777778","36.048333333333332",NA,NA,576.7,10,"Forest","S. Salicifolia; O. davidiana Decaisne; C. lanceolata",NA,"Loess","Calcaric Cambisol","0_20cm","Topsoil","Second_succession","150_yr",NA,NA,NA,"R150",NA,"LD2-1-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.0028855555555556",NA,"66.537573500033815",2.12,0.0690333317903181,"8.0833333333333321",0.0341277875396713,"18",22.2249528941068,1.1921207187345,"18",2.02288196815905,0.0857575885724389,"18",0.652214160299298,0.014178381695565,"18","138.91593362109535",20.3434086912374,"18",NA,NA,NA,"52.514903512273051",7.16735425074223,"18",NA,NA,NA,"5.7399999999999993",0.254327255600292,"18","80",14,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,393.29374610806,"39.597731005436579","18",113.944977815991,17.4273002815324,"18",21.1280046399271,3.16564084651618,"18",NA,NA,NA,63.5861882141849,6.48638487510894,"18","12.986653429931573",3.43410915119115,"18",NA,NA,NA,10.3363277104175,1.1368871596336,"18",81.3914159622913,3.07428854515876,"18",NA,NA,NA,232.609731842555,10.51486655733,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.693205628616191,0.273359965253836,10.9867769073709,34.0761581807851,3.45161106392235,18.6148078254784,0.453199545880605,1.99835674581436,0.370009908572785,"Forest",954.427062988281,87.4550399780273,37,25.6000003814697,-11.3999996185303,11.0666666030884,106,2,1384.75,6.66762733459473,0.426,0,2.92449998855591,24174,3.44853901863098,2001,11.5,19.5,21,"0_20cm",0,20,10,"0-30"
"5","5","6","Cui et al. 2020","2020","Asia","China","Loess plateau","Ziwuling","May, 2017","108.53777777777778","36.048333333333332",NA,NA,576.7,10,"Forest","S. Salicifolia; O. davidiana Decaisne; C. lanceolata",NA,"Loess","Calcaric Cambisol","20_40cm","Subsoil","Second_succession","150_yr",NA,NA,NA,"R150",NA,"LD2-B-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.2041200000000003",NA,"41.535237890672718",1.05,0.0649499985482544,"8.3233333333333341",0.0104083299973304,"3",4.51481976556135,0.0685553682671694,"3",0.451030645349478,0.0123343666543223,"3",0.565542828997858,0.0112619128052974,"3","61.028286015932373",1.15286216409851,"3",NA,NA,NA,"35.606067376907603",2.7766776617616,"3",NA,NA,NA,"2.9066666666666663",0.141891977691952,"3","80.5",13.5,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,133.998299687537,"3.3161490533317592","3",58.2197793916385,4.91386782647214,"3",5.70948459545062,0.405388462030358,"3",NA,NA,NA,3.82585355934852,0.193542674483951,"3","0.30189206498820748",0.0255138904695063,"3",NA,NA,NA,1.41670168748396,0.115160745949131,"3",85.4500089205,2.67000687002042,"3",NA,NA,NA,104.805142503243,4.01051457893869,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0440428045746316,0.0365044449916199,10.0100066638777,7.98316154686571,2.30159408173198,23.4694213544788,5.22058774063445,80.5344532276142,0.571408410771542,"Forest",954.427062988281,87.4550399780273,37,25.6000003814697,-11.3999996185303,11.0666666030884,106,2,1384.75,6.66762733459473,0.426,0,2.92449998855591,24174,3.44853901863098,2001,11.5,19.5,21,"20_40cm",20,40,30,"30-60"
"6","6","6","Cui et al. 2020","2020","Asia","China","Loess plateau","Ziwuling","May, 2017","108.53777777777778","36.048333333333332",NA,NA,576.7,10,"Forest","S. Salicifolia; O. davidiana Decaisne; C. lanceolata",NA,"Loess","Calcaric Cambisol","40_60cm","Subsoil","Second_succession","150_yr",NA,NA,NA,"R150",NA,"LD2-C-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.16564",NA,"42.574285492831947",0.725,0.0685499984677881,"8.4233333333333338",0.00763762615825957,"3",3.62461566333443,0.252869872048354,"3",0.340300672866508,0.00973449055180856,"3",0.546232403851971,0.00586483555746741,"3","140.7877188552188",3.73202615111551,"3",NA,NA,NA,"64.361372053872032",2.76396005214223,"3",NA,NA,NA,"2.6933333333333334",0.0493288286231625,"3","80",14,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,91.4119902731013,"9.5351858481124712","3",38.2649176954733,3.34050017461355,"3",4.20159406565656,0.496388086681954,"3",NA,NA,NA,2.26650142230562,0.124607391016491,"3","0.16137429362054423",0.00372132359796683,"3",NA,NA,NA,0.754425020457015,0.096423424090093,"3",45.8586809786999,2.62590288836439,"3",NA,NA,NA,36.6234940157097,1.64254432336599,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0486236944250531,0.0618865425929433,10.651215094001,6.63566576749024,2.38892426218168,21.7565021381514,4.61270066674785,52.9795603701929,0.567236232932774,"Forest",954.427062988281,87.4550399780273,37,25.6000003814697,-11.3999996185303,11.0666666030884,106,2,1384.75,6.66762733459473,0.426,0,2.92449998855591,24174,3.44853901863098,2001,11.5,19.5,21,"40_60cm",40,60,50,"30-60"
"7","7","6","Cui et al. 2020","2020","Asia","China","Loess plateau","Ziwuling","May, 2017","108.52694444444444","36.084166666666668",NA,NA,576.7,10,"Grassland","L. dahurica; C. lanceolata",NA,"Loess","Calcaric Cambisol","0_20cm","Topsoil","Second_succession","11_yr",NA,NA,NA,"R11",NA,"CD3-1-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.1707655555555556",NA,"36.959861313867201",2.12,0.0690333317903181,"8.2538888888888877",0.0141565707970547,"18",12.8677059639906,1.56476875097181,"18",1.24122166819992,0.0640168224042542,"18",0.628960739614326,0.01376320149364,"18","81.850653100826179",7.32405525278914,"18",NA,NA,NA,"43.075639420549265",1.84954435480371,"18",NA,NA,NA,"4.7266666666666675",0.183847763108502,"18","80",14,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,273.854473322757,"33.14322555615","18",64.3802096802983,7.03968015704281,"18",15.2710537288931,1.04661207772312,"18",NA,NA,NA,53.5844817680531,5.30379020837362,"18","9.8941797616581937",1.48067212543247,"18",NA,NA,NA,10.4212760274922,1.74250542423431,"18",82.4735256352539,6.59550126978983,"18",NA,NA,NA,235.515754850926,13.3092248847625,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.576829712846486,0.227519733454649,10.3669685227554,20.4586791408967,4.25370583107253,17.9329126977414,0.711324962467628,3.8526022392633,0.43257113637141,"Grassland",956.286193847656,87.7717132568359,37.2000007629395,26,-11.1999998092651,11.1333332061768,106,2,1343.1875,7.11465883255005,0.4161,0,2.92449998855591,24174,3.44853901863098,2001,7,4.9,21,"0_20cm",0,20,10,"0-30"
"8","8","6","Cui et al. 2020","2020","Asia","China","Loess plateau","Ziwuling","May, 2017","108.52694444444444","36.084166666666668",NA,NA,576.7,10,"Grassland","L. dahurica; C. lanceolata",NA,"Loess","Calcaric Cambisol","20_40cm","Subsoil","Second_succession","11_yr",NA,NA,NA,"R11",NA,"CD3-B-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.1844666666666666",NA,"50.388850110088867",1.05,0.0649499985482544,"8.41",0.00999999999999979,"3",3.25200165686461,0.0842178369503618,"3",0.291697935210683,0.0157392877092299,"3",0.511457933972311,0.00531131790821562,"3","39.722308880233669",1.28072078501242,"3",NA,NA,NA,"30.96659688412851",0.42610907467275,"3",NA,NA,NA,"4.2733333333333334",0.187705443004014,"3","80.5",13.5,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,93.7637048144541,"7.6705494466660946","3",9.64510692776515,0.335073658175549,"3",5.54653180785459,0.521899772710552,"3",NA,NA,NA,8.23467389294313,0.387804525761597,"3","1.0058393762715445",0.0156896638998957,"3",NA,NA,NA,1.61561687503267,0.0981140630964999,"3",94.0213172956596,3.71890797888492,"3",NA,NA,NA,76.7284621692257,4.62735614165115,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0861034909195847,0.107322285109552,11.1485247727784,6.35829740993061,9.72137535816619,16.9049251068339,10.1272037928862,24.7732224126832,0.579892459976332,"Grassland",956.286193847656,87.7717132568359,37.2000007629395,26,-11.1999998092651,11.1333332061768,106,2,1343.1875,7.11465883255005,0.4161,0,2.92449998855591,24174,3.44853901863098,2001,7,4.9,21,"20_40cm",20,40,30,"30-60"
"9","9","6","Cui et al. 2020","2020","Asia","China","Loess plateau","Ziwuling","May, 2017","108.52694444444444","36.084166666666668",NA,NA,576.7,10,"Grassland","L. dahurica; C. lanceolata",NA,"Loess","Calcaric Cambisol","40_60cm","Subsoil","Second_succession","11_yr",NA,NA,NA,"R11",NA,"CD3-C-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.2155266666666666",NA,"56.923648063359479",0.725,0.0685499984677881,"8.4433333333333334",0.0472581562625264,"3",3.06810189145518,0.217411279892708,"3",0.26130900538173,0.0221854226720182,"3",0.520846563676304,0.00446974679838091,"3","35.139883997204784",0.64024089063308,"3",NA,NA,NA,"39.675967854647133",5.70947842819466,"3",NA,NA,NA,"4.3466666666666667",0.120554275466834,"3","80",14,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3112306856122,"2.1004418983491187","3",2.93568341227323,0.310691540696427,"3",1.87589972047519,0.0684451660137701,"3",NA,NA,NA,4.11648453108433,0.223375218748198,"3","8.8437289191594326E-2",0.00361009356562961,"3",NA,NA,NA,0.972690002206854,0.0781723064785091,"3",88.170952667598,1.66405378051119,"3",NA,NA,NA,60.5665848436305,2.37129420742057,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0461781054464211,0.0679662645947791,11.7412788241767,5.89060599689768,8.2812848905894,12.9597709409829,15.2737688137528,32.3700931040126,0.585906246621682,"Grassland",956.286193847656,87.7717132568359,37.2000007629395,26,-11.1999998092651,11.1333332061768,106,2,1343.1875,7.11465883255005,0.4161,0,2.92449998855591,24174,3.44853901863098,2001,7,4.9,21,"40_60cm",40,60,50,"30-60"
"10","10","6","Cui et al. 2020","2020","Asia","China","Loess plateau","Ziwuling","May, 2017","108.52611111111111","36.088888888888889",NA,NA,576.7,10,"Forest","S. schneideriana; B. ischaemun; C. lanceolata",NA,"Loess","Calcaric Cambisol","0_20cm","Topsoil","Second_succession","60_yr",NA,NA,NA,"R60",NA,"SJ4-1-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.0970297222222223",NA,"71.512924813015033",2.12,0.0690333317903181,"8.2966666666666669",0.0238869888285258,"18",13.1941879254455,1.61817546419245,"18",1.25736526469483,0.0580705183359915,"18",0.638624707636403,0.0110428061797703,"18","101.55052069038422",2.8282226822604,"18",NA,NA,NA,"49.581679005984114",2.27262016715156,"18",NA,NA,NA,"5.5666666666666664",0.92352903709247,"18","80",14,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,107.964229004631,"8.8612107513608418","18",47.7591529253252,4.86414638553132,"18",12.1313034834189,1.33470429019893,"18",NA,NA,NA,76.3270013238752,5.17403583563422,"18","23.64304724128586",2.11458066086329,"18",NA,NA,NA,16.2692721227878,3.18629143400096,"18",61.6628648047628,4.86751121214842,"18",NA,NA,NA,199.753719313064,9.50834071006763,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.979403418577273,0.382105532684735,10.4935202967038,20.6603154680284,2.2605976528403,8.89963961021973,0.219958348325345,1.12733280658733,0.276029610286714,"Forest",956.286193847656,87.7717132568359,37.2000007629395,26,-11.1999998092651,11.1333332061768,106,2,1343.1875,7.11465883255005,0.4161,0,2.92449998855591,24174,3.44853901863098,2001,12.5,21.9,21,"0_20cm",0,20,10,"0-30"
